category,impact,description,priority
waste_management,low,Garbage vehicle not arrived reported in J.P.Nagar,0.38
waste_management,medium,Issue with Garbage dump in Cottonpet,0.48
electricity,high,Street Light Not Working reported in Malleshwaram,0.71
waste_management,medium,Issue with Road cutting in Bommanahalli,0.55
waste_management,medium,Issue with Garbage vehicle not arrived in Yelahanka old Satellite Town,0.42
waste_management,medium,Garbage dump reported in Basavanapura,0.50
waste_management,medium,Issue with Garbage dump in Benniganahalli,0.56
waste_management,medium,Garbage vehicle not arrived problem in Thanisandra ward,0.51
waste_management,medium,Garbage dumping in vacant sites reported in Gottigere,0.52
waste_management,medium,Complaint regarding Garbage dump at Vasanth Nagar,0.54
electricity,high,Issue with Street Light Not Working in Adugodi,0.71
waste_management,medium,Garbage dump reported in Hagadooru,0.47
waste_management,medium,Garbage dump issue in Jakkur area,0.57
electricity,high,Street Light Not Working reported in Banaswadi,0.71
waste_management,medium,Complaint regarding Ekhata missing in online at Ullalu,0.42
electricity,high,Street Light Not Working problem in Kempapura Agrahara ward,0.76
waste_management,medium,Issue with Road side drains in Bilekahalli,0.42
waste_management,low,shifting of the street dogs to other places issue in Vidyaranyapura area,0.40
waste_management,medium,Garbage dump problem in Sagayapuram ward,0.64
waste_management,medium,Complaint regarding Garbage dump at Vignana Nagar,0.50
waste_management,medium,Garbage vehicle not arrived issue in Hagadooru area,0.42
waste_management,medium,Footpath problem in Hemmigepura ward,0.50
waste_management,medium,Issue with Garbage dump in Vasanthapura,0.62
waste_management,medium,Complaint regarding Road side drains at Hemmigepura,0.51
waste_management,medium,Issue with Potholes in Kottigepalya,0.47
waste_management,medium,Issue with Garbage dump in Benniganahalli,0.49
waste_management,medium,Garbage dump issue in Thanisandra area,0.55
waste_management,medium,Complaint regarding Garbage dump at Madiwala,0.50
waste_management,medium,Fatally injured - Needs immediate attention problem in Singasandra ward,0.48
electricity,high,Complaint regarding Street Light Not Working at Shiva Nagar,0.81
waste_management,low,Garbage vehicle not arrived issue in Kottigepalya area,0.36
waste_management,medium,Garbage dump issue in Dodda Bidarkallu area,0.64
waste_management,medium,Removal of dead/fallen trees issue in Pattabhiram Nagar area,0.53
waste_management,medium,Issue with Garbage vehicle not arrived in Hoodi,0.41
waste_management,medium,Issue with Removal of dead/fallen trees in Hemmigepura,0.52
waste_management,medium,Garbage dump issue in Marenahalli area,0.49
waste_management,medium,Sweeping not done reported in Agaram,0.47
waste_management,medium,Issue with Stray dog related complaints in Begur,0.53
waste_management,medium,Complaint regarding Garbage dump at K.R.Puram,0.49
electricity,medium,Street Light Not Working problem in Ullalu ward,0.66
waste_management,medium,Khata Services (Registration problem in  Bifurcation and Amalgamation) ward,0.51
electricity,high,Street Light Not Working problem in Jogupalya ward,0.75
waste_management,medium,Garbage dump reported in Jogupalya,0.49
electricity,high,Street Light Not Working reported in Hoysala Nagar,0.70
electricity,medium,Street Light Not Working issue in Hoysala Nagar area,0.66
waste_management,low,shifting of the street dogs to other places issue in Bilekahalli area,0.38
electricity,high,Street Light Not Working issue in Jnanabharathi Ward area,0.81
waste_management,medium,Issue with Removal of dead/fallen trees in Vidyapeetha,0.50
electricity,medium,Street Light Not Working reported in Shettyhalli,0.65
waste_management,medium,Complaint regarding Increase in mosquito density at Rajarajeshwari Nagar,0.48
electricity,high,Complaint regarding Street Light Not Working at Shivaji Nagar,0.84
electricity,high,Street Light Not Working problem in Rajamahal ward,0.81
waste_management,medium,Garbage dump reported in Maruthi Mandira Ward,0.45
electricity,high,Street Light Not Working reported in Chokkasandra,0.70
electricity,high,Street Light Not Working reported in Shanthi Nagar,0.70
electricity,high,Street Light Not Working reported in Chamrajpet,0.84
waste_management,medium,Air/Noise pollution issue in Bellandur area,0.45
waste_management,medium,Garbage dump issue in C.V.Raman Nagar area,0.61
electricity,high,Street Light Not Working reported in Gangenahalli,0.74
electricity,high,Street Light Not Working reported in Vasanthapura,0.75
electricity,medium,Complaint regarding Street Light Not Working at Bagalagunte,0.68
electricity,high,Street Light Not Working issue in Hemmigepura area,0.80
electricity,high,Issue with Street Light Not Working in Yeshwanthpur,0.71
electricity,high,Issue with Street Light Not Working in Vasanthapura,0.85
electricity,high,Street Light Not Working reported in Rajarajeshwari Nagar,0.71
waste_management,medium,Khata Services (Registration issue in  Bifurcation and Amalgamation) area,0.49
electricity,high,Street Light Not Working issue in Vishwanathnagenahalli area,0.73
waste_management,medium,Issue with Garbage dump in Hemmigepura,0.49
waste_management,medium,Complaint regarding Debris Removal / Construction Material at Yelachenahalli,0.43
waste_management,medium,Garbage vehicle not arrived reported in Bellandur,0.42
waste_management,medium,Garbage dump issue in Jnanabharathi Ward area,0.53
waste_management,medium,Issue with Garbage dump in Bilekahalli,0.54
electricity,high,Street Light Not Working reported in Dodda Bidarkallu,0.75
electricity,medium,Issue with Street Light Not Working in Hosahalli,0.70
waste_management,medium,Issue with Potholes in Chikkalasandra,0.52
waste_management,medium,Garbage vehicle not arrived issue in Yelachenahalli area,0.48
waste_management,medium,Garbage thrown in storm water drain reported in Shakambari Nagar,0.51
electricity,high,Issue with Street Light Not Working in Nagapura,0.73
waste_management,medium,Issue with Garbage vehicle not arrived in Jnanabharathi Ward,0.42
electricity,high,Street Light Not Working issue in Kadugodi area,0.72
electricity,high,Complaint regarding Street Light Not Working at Rajagopala Nagar,0.75
waste_management,medium,footpath encroachment issue in Hagadooru area,0.52
waste_management,medium,Road side drains issue in Bommanahalli area,0.53
waste_management,low,Stray dog related complaints issue in Nagapura area,0.39
waste_management,medium,Garbage dumping in vacant sites reported in Aramane Nagar,0.54
waste_management,low,Issue with Garbage vehicle not arrived in Dodda Bidarkallu,0.38
waste_management,medium,Garbage dump problem in Someshwara ward,0.51
waste_management,medium,Complaint regarding Technical Issue In Ekhata at Varthur,0.42
electricity,high,Issue with Street Light Not Working in Varthur,0.76
waste_management,medium,Garbage dump reported in Jayangar,0.54
electricity,high,Street Light Not Working issue in Nagavara area,0.80
waste_management,medium,Issue with Removal of dead/fallen trees in Shiva Nagar,0.46
electricity,medium,Complaint regarding Street Light Not Working at Kushal Nagar,0.66
waste_management,low,Garbage vehicle not arrived issue in Hoodi area,0.37
waste_management,medium,obstructions Branches / Trees. reported in Vidyaranyapura,0.52
waste_management,medium,Other Khata / ekhata issues issue in Banaswadi area,0.47
waste_management,medium,Complaint regarding Removal of dead/fallen trees at Konena Agrahara,0.48
electricity,medium,Street Light Not Working reported in Vidyaranyapura,0.67
waste_management,medium,obstructions Branches / Trees. reported in Koramangala,0.53
waste_management,medium,Complaint regarding Technical Issue In Ekhata at Puttenahalli,0.46
waste_management,medium,Garbage dump problem in Rajarajeshwari Nagar ward,0.58
waste_management,medium,Complaint regarding Ekhata Other corrections at Doddabommasandra,0.44
electricity,medium,Street Light Not Working reported in Kottigepalya,0.70
waste_management,medium,Fatally injured - Needs immediate attention problem in Gottigere ward,0.42
waste_management,low,Stray/Rabid dog bite issue in Shettyhalli area,0.39
waste_management,low,Issue with Debris Removal / Construction Material in Kacharakanahalli,0.39
waste_management,medium,Garbage dumping in vacant sites issue in Ramaswamy Palya area,0.47
waste_management,medium,Removal of dead/fallen trees issue in H.M.T area,0.51
waste_management,medium,Ekhata Area Correction problem in Gurappanapalya ward,0.44
waste_management,medium,obstructions Branches / Trees. problem in Shanthi Nagar ward,0.54
waste_management,medium,Garbage dump problem in Nagarabhavi ward,0.57
waste_management,medium,Garbage dump reported in Ramamurthy Nagar,0.50
waste_management,medium,Road Infrastructure problem in Hagadooru ward,0.49
waste_management,low,Removal of dead/fallen trees problem in Banaswadi ward,0.40
electricity,high,Complaint regarding Street Light Not Working at Hosakerehalli,0.83
waste_management,medium,Ekhata missing in online problem in Bellandur ward,0.44
waste_management,medium,Complaint regarding UnAuthorised Building Constructions at Vasanthapura,0.47
waste_management,medium,Issue with Garbage dump in Nagarabhavi,0.52
parks_recreation,medium,Complaint regarding Issues Related to Parks/Medians/Circles/Island. at Shakambari Nagar,0.51
waste_management,medium,Garbage dump problem in Neelasandra ward,0.45
waste_management,medium,Technical Issue In Ekhata reported in Jakkasandra,0.52
waste_management,medium,Complaint regarding Garbage dumping in vacant sites at Hoodi,0.56
waste_management,medium,Garbage dump issue in Jayangar area,0.53
waste_management,medium,Garbage dump reported in Vannarpet,0.60
waste_management,medium,UnAuthorised Building Constructions issue in Herohalli area,0.52
waste_management,medium,Removal of dead/fallen trees problem in Katriguppe ward,0.46
waste_management,medium,Garbage dump issue in Malleshwaram area,0.46
waste_management,medium,Debris Removal / Construction Material issue in Begur area,0.47
waste_management,medium,Garbage dump problem in Kadugondanahalli ward,0.46
waste_management,medium,Garbage dump problem in Gottigere ward,0.57
electricity,medium,Street Light Not Working problem in Jaraganahalli ward,0.66
waste_management,low,Garbage vehicle not arrived problem in Basavanagudi ward,0.37
waste_management,medium,Garbage dump reported in Sri Nagar,0.51
waste_management,low,Garbage vehicle not arrived issue in Shettyhalli area,0.39
electricity,high,Street Light Not Working issue in Hemmigepura area,0.77
waste_management,medium,Garbage dump problem in Sagayapuram ward,0.45
electricity,high,Street Light Not Working problem in Jnanabharathi Ward ward,0.74
waste_management,medium,Complaint regarding Garbage dumping in vacant sites at Thanisandra,0.56
electricity,high,Street Light Not Working issue in Byatarayanapura area,0.74
waste_management,medium,Issue with Garbage dump in Malleshwaram,0.49
electricity,medium,Street Light Not Working reported in Shettyhalli,0.69
electricity,medium,Complaint regarding Street Lights Switched On During Day Time at Vidyaranyapura,0.59
electricity,high,Street Light Not Working problem in Singasandra ward,0.72
waste_management,medium,Garbage dump issue in BTM Layout area,0.50
waste_management,medium,Complaint regarding Removal of dead/fallen trees at Hosakerehalli,0.50
waste_management,medium,Zonal Violation of the Building reported in Jeevanbhima Nagar,0.47
waste_management,medium,Potholes issue in Hoodi area,0.44
waste_management,medium,Complaint regarding Garbage vehicle not arrived at K.R.Market,0.52
waste_management,medium,Complaint regarding Dengue positive at Doddanekkundi,0.47
waste_management,medium,Other Khata / ekhata issues issue in Basaveshwara Nagar area,0.43
waste_management,medium,Dengue positive reported in C.V.Raman Nagar,0.53
waste_management,medium,Garbage dump reported in Gottigere,0.57
waste_management,medium,Complaint regarding Footpath at Hagadooru,0.51
waste_management,medium,Garbage vehicle not arrived reported in Hoodi,0.43
